,reviews,purchased
48,Great For The Price : I'm surprised how good this is for the price! Tastes more like Sauvignon blanc to me...,
50,"Pretty Good For Wine In A Box! : For as much as we drink white wine, I needed to find a budget bottle. We'd been doing 6-7 dollar bottles, but this beats that. And it's pretty good! You won't impress anyone with this, but for a Monday-Thursday, home and on a budget drinking, this is good.",
51,"This Wine Made My Party! : I served this and all the different varieties at a party. My guests and I loved them all. Since I am not a wine expert, I will simply give you some of the notes on this variety from the Fancy Pants website: ...a robust and rich palate with ripe berries, red fruit, and toasty oak flavors. Cherries and vanilla spice on the mouth lead to a long, lingering finish.",
52,"Tried The Past Type & It's My Favorite So This Should Be Great! : I tried Beringer, who makes this, Pink Moscato, had no trouble opening it up with a Corkscrew, one which I just bought from Target in-store, really like its sweet, fruity flavor pink looking wine. I plan to stock up for the Holidays.",
53,"A Scrumptious Red! : If you like a fruit forward blend of reds with a very smooth finish and jammy taste, you will love this! I think my 9 year search for my favorite red wine has ended!",
54,"Refreshing Rose! : This is a dry Rose, not sweet at all which is perfect for summer!",
55,"Favorite Rosé : A wonderful dry wine, and the taste is just divine!",
56,"Favorite Ros�� : A wonderful dry wine, and the taste is just divine!",
57,Now That's Cider : Been looking for Strongbow in the US for years,
58,"Refreshing : Refreshing, nice grapefruit flavor. Not for people that dislike seltzer water. It's good out of the can or poured over ice.",
59,"Here Are The Reasons I Like Truly : IT IS NOT SWEET,AND I LIKE THAT. IF YOU LIKE THE TASTE OF SPARKLING WATER WITH THE BENEFIT OF 5 ALCOHOL. THIS IS FOR YOU.",
60,"Best Cabernet I've Ever Tasted, Simple As That. : Best Cabernet I've ever tasted, simple as that.",
61,I Love It! : so refreshing! LOVEIT!,
62,"Deliciously Tangy : This Cayman Jack margarita is really good. I found it in a Southern California Target, but I can't find it in Northern California stores. :(",
63,"Decent Beer For A Good Price : I expected this beer to be on the bitter side the first time I tried it, but I still enjoyed its smooth taste. I'd definitely buy it if I get a chance.",
64,"Looked like a linear regulator from outside and no reviews on ... : Looked like a linear regulator from outside and no reviews on it so I ordered this puppy to put it to the test. definitely a switcher and fairly quiet. Well regulated Just like all of RM Italy products, great quality.",
65,"Luv This Wine : I love sparkling wine, but I find that most brands are sweet. I'm aging and no longer want the sweet stufd. This is medium body wine with strong bubbles (I love bubbles ) . The alcohol content offers a nice buzz fairly quickly. So ecstatic I found this brand and Target carries it.",
67,delicious : This wine is full-bodied and delicious.,False
68,Great wine for price : Super wine with fruity taste. As a regular wine drinker this is our routine wine of choice. Priced right with good taste.,False
69,Not worth the money! : Had a taste of either being old or spoiled. Stick with the bottle.,False
70,Nice Red : This is our go-to wine for dinner parties. Better than most of the 10 bottles.,False
71,"Always Have Jb Original On Hand : I have been enjoying Jim Beam Original for many years. I started mixing JB-O with Slice while wife and I watched Dallas. I have tried other whiskeys, but keep coming back to JB. Now I enjoy it mixed with Diet Pepsi (since I can no longer find Slice).",
72,Yumm : It goes great in apple cider,
73,"Always Consistent : Consistent flavor and quality. JB with Dr. Pepper is surprisingly tasty. I highly recommend it. Love your commercials, too. Mila is doing you proud. Keep up the good work.",
74,A Drink That Stands Out; And Smooth As Well... : A true classic of spirits...,
75,"Perfect & Versatile : I love this Bourbon as it is always my first choice when its time to unwind. Whether its Neat, On Rocks, With a Coke or Ginger Ale, or my Grandpa's Whiskey Sour, nothing tops Jim Beam!!!! Nothing!!!",
76,It is the first drink I check everytime : The white label or the devil's cut dashed with some lemonade and lime cordial is how I enjoy my Jim.,False
77,Yes I would buy again : Best Drink you can get,False
78,very reasonally priced : to make manhattens,False
79,One fine bourbon : Best bourbon I have found...have toured distillery and love the brand..,False
80,Red Stag stands alone : Red Stag and Coke Zero is my go to drink. Only wish more bars and restaurants stocked it. Nothing like a good bourbon with a cherry kick !,False
81,Good taste : I like it with dr.peper to sip and relax,False
82,The only whiskey I drink : Better than the other's,False
83,Priced right and great quality : Drank it for years and always smooth and tasty. Now it is running off the shelves at our liquor store.,False
84,Best bourbon on earth. : I keep Jim Beam on hand every day of the week.,False
85,"A Bourbon Legend : I typically have this neat or with an ice cube. Its light amber appearance, sweet, woody, mossy nose, and its mild moss, white oak, mellow wintergreen mint, and dried, faintly-candied fruit flavor draws the drinker into an exploration of pin-point distilling execution. Jim Beam Original has a gradual finish, with a ghost of chocolate powder, during the fade out. Highly recommended. RJT",False
86,I would buy this drink over and over. : It's does have a great toaste to it the only drink I'll drink.,False
87,Smooth : I had a neat 2 finger glass two weeks ago of JB Black label for the first time (I've always drank Jack Daniels) and I loved it! No more Jack for me!,False
88,smoothy : Best tasteing and defenetly the smoothest around I love it!,False
89,Always in my liquor cabinet : I always keep a bottle of Jim Bean in my liquor cabinet. Value for price is incredible and it mixes great.,False
90,Best price : This is our favorite mixed drink whiskey and sams has the best price on a handle. We'll be buying this again,True
91,Great product : Best whiskey around and a price that can't be beat!!,True
92,Very Reasonally Priced : to make manhattens,
93,One Fine Bourbon : Best bourbon I have found...have toured distillery and love the brand..,
94,"It Is A Good Wine : I drink Yellow Tail because you can not buy a perfect wine for the price of this one, I JUST LOVE IT!!!!!!",
95,Love : I always buy this item at Walmart cause they always have it at a Great Price,True
96,"Awesome Bourbon : As a Scotch drinker, tasting Basil Hayden's for the first time changed my opinion of Bourbons. Now I enjoy both Scotch Bourbon with BH on the top of list for Bourbons!",
97,Love Basil Hayden's : Very tasty bourbon!,
98,Flavorful With A Smooth Finish : Basil Hayden was my gateway to world of Burbon. Ever since I have held its flavor profile as the gold standard when trying others on the market bit I always find myself coming back to my first love.,
99,Spirit Of Choice : Outstanding. Simply an outstanding beverage. Spicy and light with a comforting finish. A staple in my home bar rotation - I never let a bottle get near empty without backfilling it with a fresh one.,
100,Cooks Champagne : I love the Cooks champagne however I cannot drink the brut. Would love Extra dry to become available at Sams in Mobile AL.,False
101,"Very Drinkable : My favorite red wine has been Menage a Trois for a long time, and this SILK blend is even better than the regular blend. The price has remained affordable while the quality has remained consistently good for these red blends.",
102,My Favourite Riesling : My mother turned me on to Barefoot Riesling a few years back and it had been a reflex to always choose it when given the option.,
103,Love : Been trying to find a red wine with a smooth finish. This stuff is exactly what I was looking for.,
104,Excellente : Perfect sipping tequila ... chilled and neat !,
105,Excellente : Perfect sipping tequila ... chilled and neat !,False
106,"Solid tequila : My buddy ordered some shots of this stuff during a horns game. Frankly when it comes to tequila, I usually brace myself for a rough shot. Maybe I'm drinking the wrong stuff, because this was really easy to put back. No lingering aftertaste. Reasonably priced. Good value tequila if you're looking.",False
107,One of my favorite! : Straight over ice.,False
108,Amazing Drink : My drink of choice when I really want to enjoy my time alone.,
109,"Makes The Best Jello Shots Ever!! : Makes orange jello taste like creamsicle, strawberry taste like strawberries and cream, lemon taste like lemon meringue....I could go on and on....get some today!!",
110,"""the Best Jerry, The Best"" : Pinnacle has been making our Martini's in my family for many years. My late father discovered it years ago when someone said it's on par with that vodka that flys south for the winter, but at a very reasonable price. Try it, bet you'll love it too. Al",
111,Pinnacle Whipped Bodka : The whipped creme flavored vodka is fabulous. I keep it in the freezer and have a snifter of it when I want something smooth after dinner or as a night cap. Love it!,
112,"Love this product! : Everything is great about this product, cheap price, perfect taste. Mixing this flavor with just a soda makes it delicious.",False
113,"I Love This Stuff !!!! : I love this vodka, I have been drinking vodka for many years, and this is by far one of the best, and my favorite vodka. I drink it regularly, usually with grape juice, but also with orange juice. We use it to make daiquiris, and many other frozen concoctions.",
114,So So : Just so so. Seems to be missing something. There are much better margarita mixes out there without all the additives this does not have.,
115,Smooth And Fruity. : Very good summer red. It's become our favorite reasonably priced wine that we enjoy on its own.,
116,seagrams escapes : love all of the flavors. will be buying again. great for summer drinks,True
117,"Variety Value : I bought this pack on a whim and I'm so glad I did. There is a variety of drinks for a great price, even less than the discount liquor store! I'll definitely get this again!",True
118,Line : Vrty good,True
119,Enjoy there flavors : Jamaican me happy,True
120,Tasty if you can find it : Really enjoy these but SAMs likes to send you on wild goose chases saying available and none to be found not even the empty pallet,False
121,Best Red Blend for the price : We have been buying Apothic Dark for a couple of years now. It is our Red Blend of Choice. Very Smooth and very reasonably priced.,False
122,pretty good : Decent table wine for the price. Bend that is on the sweeter side of the spectrum.,False
123,Very popular : Rum Chata is great when mixed with Fireball or Caramel Vodka,False
124,"Love The Cucumber Chili, Wish It Wasn't Discontinued. : Love this brand of tequila. I'm a Margarita fan and like to make different kinds",
125,Beer : love it wouldnt mind drinking more,
126,"Good, Cheap, Summer Lake Beer : On a hot day near the water, this is the cheap-ish beer to have. Bud light with a solid splash of lime, makes it a light and refreshing choice. The Target 12-pack is average-priced and will provide a beverage most will enjoy - particularly the ladies.",
127,"This Is Great! : Love this vodka - it's perfect for screwdrivers! It blends so well with the juice and for an interesting citrus blend, you can use grapefruit juice.",
128,One of our favorites : We've been drinking this wine for a while. It's one of a group we buy regularly because it's a good wine at an affordable price.,False
129,"Like an old friend : Never disappointed, constant taste.",False
130,"A hidden gem : A delicious blended wine ... give it a try, you might be surprised",False
131,Best Reisling! : This is by far the best reisling I've ever had! LOVE it! Always consistent in flavor and my go to!,
132,Delicious : Great Taste don't forget a slice of orage on the side!,
133,Yum! : Very fruity. Smooth. I like it straight over ice with a bit of Chambord.,
134,"Bitter Acrid Terrible Tea : Tastes absolutley nothing like Chinese restaurant tea... not even similar. It's absolutley horrible, bitter and acrid. With shipping I paid 50 cents per bag... what an amazing rip off. You can go to a local Oriental store and get this kind of stuff for 2 cents per bag... and it would probably taste better.",
135,Very good tea..... : I don't know why some people wrote bad reviews about this tea. It is just like the tea I've grown up with that I had in Chinese Restaurants. The only complaint I have is that I found the same tea while visiting an Asian store out of town and it was only 2.00 per box while this one was more than double plus a 2.99 shipping fee. I knocked the rating down one star because of the outrageous price this seller charges.,
136,"Loving It : Had a cup of this tea and it was like reliving the past. Always drank this blend at a small Chinese Resturant in Queens, NY. After my first sip I felt like I was back thier enjoying a big pot of tea. Smooth and Relaxing, great blend and will be ordering more soon.",
137,"Great tea!! : Yes! this IS just like the Chinese restaurant tea. I used to receive a tea bag or two from my favorite Chinese take out, but nobody does that anymore. I'd save my teabag for the next day to drink with the leftovers, to enhance the leftovers. Now, I can enjoy this tea anytime. This is a refreshing tea that does not make one feel as if we should be adding milk and/or eating some cookies or cakes with it. This tea can stand alone and refresh the inner soul. I drink it with just a pinch of sugar.",
138,"Fantastic Tea : I gave this to my husband for christmas and he loves it. Says it smells good, it has a nice flavor and a smooth texture, just like the tea you are served in Chinese Restaurants :)",
139,"Tasty blend of green, jasmine and oolong tea. Hard to find in stores where I live. : I really like this tea and have bought it many times. The blend called Chinese Restaurant Tea is a blend of green, oolong and jasmine. It doesn't contain ginseng or black tea, which might explain why some people don't like it. (Black tea is more common and smoother tasting than green, which can be grassy or sharp tasting.) It does taste like the teas I have had at better Asian restaurants. (Some of the cheapo ones don't even serve tea any more.)I like the packaging and the name. Kind of quirky, stripped down and charming to my mind. It is hard for me to find this tea in stores. I called the company and they said it was only available in certain regions. (My store had carried it but stopped apparently due to this regional issue -- no longer available in our part of PA.) It was much cheaper in the store than it is on-line but I am just glad to have found it! Thanks for carrying it, Amazon and friends!",
140,"ILOVETHISTEA : Really, that's all I have to say. I have ordered this tea several times. Tastes EXACTLY like the Chinese tea that you can find in any major Chinese restaurant.",
141,"Good taste, but is it real Ginseng : I really like the taste of the tea, especially cold. It's a green tea mixed with Ginseng, and they've added licorice root to perhaps sweeten the tea. I don't even add any sugar or honey to it, the taste is that good. My only complaint is that the box claims it is 100 natural, but I wish they would disclose the amount and type of Ginseng. I bought this tea because of the Ginseng, so it would be nice if they disclosed what type of Ginseng and what concentration of it is in the tea itself. Since this is a pretty inexpensive tea, I'm guessing it's a cheap low-quality Ginseng, but like I said, it is tasty. Another nice benefit of this tea is that you can just drop the tea bag into a glass of room temperature water and drink it that way, it's very tasty this way! You don't have to steep or brew it with hot water, so it makes it a nice drinkable tea year round.",
142,"Good taste And Good tea : I like all ingredients in this tea: Green tea, Licorice root and Ginseng. Specially Licorice root can relieve a spasmodic cough and test like Mint",
143,Good stuff : We like this brand especially when we make stir fry. Can't find it in the grocery stores any longer and was happy I could find it on line.,
144,"Great Taste And Great Value! : This is my favorite Riesling. When I spotted it on sale for 9.99 a bottle I was delighted. I usually pay around 12.99 at other locations. Buying two bottles saved me six dollars, Thanks Target.",
145,"Leinenkugels Sunset Wheat : Refreshing taste of beer especially for summer, citrus combined w/ blueberry.",
146,"Right On Target, Great After A Busy Day : Right on Target - Sierra Nevada Torpedo Ale has outstanding character, warm, subtle hints of fruit and a strong but not overly bitter hop aftertaste. It is excellent after a hard day's work to kick back and relax. Target recently began carrying beer and I could not be more enthused! ...",
147,Excellent IPA : Best beer for the money. Wish the club in Omaha would carry it again. Any idea if any club carries it,False
148,Best beer out of Colorado : Battle ground walmart is to high priced to surrounding stores,True
149,Smirnoff Is Better Than : Any alcohol beverage,
150,"Always Have Jb Original On Hand : I have been enjoying Jim Beam Original for many years. I started mixing JB-O with Slice while wife and I watched Dallas. I have tried other whiskeys, but keep coming back to JB. Now I enjoy it mixed with Diet Pepsi (since I can no longer find Slice).",
151,"""awesome"" : My momma LOVES this stuff....!! Its the taste that will rockur socks off!!",
152,Yumm : It goes great in apple cider,
153,A Drink That Stands Out; And Smooth As Well... : A true classic of spirits...,
154,It is the first drink I check everytime : The white label or the devil's cut dashed with some lemonade and lime cordial is how I enjoy my Jim.,False
155,Yes I would buy again : Best Drink you can get,False
156,very reasonally priced : to make manhattens,False
157,One fine bourbon : Best bourbon I have found...have toured distillery and love the brand..,False
158,Red Stag stands alone : Red Stag and Coke Zero is my go to drink. Only wish more bars and restaurants stocked it. Nothing like a good bourbon with a cherry kick !,False
159,Good taste : I like it with dr.peper to sip and relax,False
160,The only whiskey I drink : Better than the other's,False
161,Priced right and great quality : Drank it for years and always smooth and tasty. Now it is running off the shelves at our liquor store.,False
162,Best bourbon on earth. : I keep Jim Beam on hand every day of the week.,False
163,"A Bourbon Legend : I typically have this neat or with an ice cube. Its light amber appearance, sweet, woody, mossy nose, and its mild moss, white oak, mellow wintergreen mint, and dried, faintly-candied fruit flavor draws the drinker into an exploration of pin-point distilling execution. Jim Beam Original has a gradual finish, with a ghost of chocolate powder, during the fade out. Highly recommended. RJT",False
164,I would buy this drink over and over. : It's does have a great toaste to it the only drink I'll drink.,False
165,Smooth : I had a neat 2 finger glass two weeks ago of JB Black label for the first time (I've always drank Jack Daniels) and I loved it! No more Jack for me!,False
166,smoothy : Best tasteing and defenetly the smoothest around I love it!,False
167,Always in my liquor cabinet : I always keep a bottle of Jim Bean in my liquor cabinet. Value for price is incredible and it mixes great.,False
168,Very Reasonally Priced : to make manhattens,
169,One Fine Bourbon : Best bourbon I have found...have toured distillery and love the brand..,
170,Great value : Very good Cabernet Sauvignon for the money. More in line with wines typically in the 20 range.,False
171,Goto : This has become our goto wine!! Not terribly expensive - just terribly GOOD!,False
172,Good Deal : I like a good price-quality deal for Heineken Lager. My fav easy-going beer. I prefer bottled on and I like to drink it from glasses.,
173,Fresh and cheap : It was very fresh and cheaper than anywhere in the area.,True
174,"Great beer! : I bought this, best price and great convenience to order online, pick up in store. Great job! Super easy",True
175,a crowd pleaer : Made our party special. Everyone was pleased with our choice of drinks.,True
176,Black Cherry Tasty : TASTE DRINK,
177,.tastiest Of Tasties. : This is by far the best flavored vodka on the market. I drink it with soda water the flavor is crisp. Not sweet or thick at all.,
178,I wouldn't buy it again : It's really smooth but the taste isn't so good. More on the cough syrup side than black cherry and vanilla. It was a waste of money. The green apple and blood orange are the best ones .,False
179,I Wouldn't Buy It Again : It's really smooth but the taste isn't so good. More on the cough syrup side than black cherry and vanilla. It was a waste of money. The green apple and blood orange are the best ones .,
180,I Like The Smooth Taste Good Finish : I use with blue agave light golden syrup an one lime over ice with gold sauza tequila perfect drink!!!,
181,I like the smooth taste good finish : I use with blue agave light golden syrup an one lime over ice with gold sauza tequila perfect drink!!!,False
182,"Nice, Fresh, Tasty With Character : Starborough was a surprise as an alternate to Fume Blanc or Grigio wines. This is a soft and above average tasty white wine. Citrus Aroma, gracious acidity, layered texture is enough to satisfy Chardonnay as an alternate crisp finish and a nice experience.",
183,"The Best Tasting Burbon Ive Come To Love The Most!! : No matter how many different whiskey's there is, not a one, so far, has been able to resist my taste for the LOVE 0f JIM BEAM!!",
184,"Yes, Yes : your product is the smoothest going down, and make great gifts",
185,"I Love All Jim Beam Products, Really Enjoy The Smoothness. : I use Jim Beam to make alot of different kinds of marinades and sauces. I make a honey bourbon marinade for smoking jerky that tastes amazing. Everyone says it's the best jerky they've ever had. Thanks for making the best bourbon on the market Jim Beam!",
186,Smooth : Wife and I enjoy it mixed with a Coke or a Monster Black Cherry. Excellent.,
187,I Love This Stuff : This is my favorite bourbon. I even love its aroma. It has that nice vanilla scent going on. I never get tired of Jim Beam Black.,
188,"Magnificent oak flavor! : I'm a single malt Scotch guy. I generally have two fingers neat with a quality cigar about once a week. On a stressful day, I'll have a couple of beers or so after work before the family gets home. The trouble is the beer gut that comes with that trend. I was looking for something similar to my favorite Scotch, which is a little out of my budget to drink daily. Jim Beam Black is an awesome substitute with the rich white oak aroma and flavor. It isn't near as smooth as my favorite Scotch, but the flavor is on point. Thank you Jim Beam for putting this great whiskey out there at an affordable price. You've got a customer for life!",False
189,My favorite bourbon! : Exceptionally good flavor!,False
190,Top Choice Every Time! : No matter where I go after years of various bourbon tastings....Jim Beam Black is head and shoulders above the rest no matter what the price tag!,False
191,Good Job : I'm personally a wild turkey drinker. But cudos to Jim beam for producing such a classy commercial. Got the right girl to be their spokesperson. Good job. Very classy.,False
192,"When you want to experience perfection, look no further! : Seriously You ask what's great about it What isn't great about it",False
193,What bourbon should be. : No explanation necessary.,False
194,I love Jim Bean : I first started drinking Jim Bean when i went camping. I didnt want to carry the bear around so i tried jim bean. My first was Red Stag Cherry. Than i tried devils cut when i came home. I have been hooked ever since. I usually mix with coke or dr.pepper.,False
195,Best bourbon under 50 : This is the best bourbon under 50 you can buy. One of the smoothest bourbons I've tasted. I typically drink Woodford Reserve or Eagle Rare until I tried this. I buy a bottle every two weeks now.,False
196,I would definitely buy this quality bourbon again : This is Beam at it's best very smooth.,False
197,Just the best!! : I tried JB Black for the first time tonight. It is so smooth. We made whiskey sours with it and they were awesome. Thanks Jim Beam for this awesome bourbon!!!,False
198,"Love it, cannot find it anywhere : I have been enjoying JB Black for the past three years. The has all the flavor os a higher proof, bur 86, I can have another without collapsing. Now it has disappeared from even the most extensive liquor stores in my area. What happened The double oaked is OK, but no match for the black. Where can I find it in Sonoma County, California",False
199,"Jim Beam at it's best! : I bought this in early December and it didn't make it to the new year... This one is Awesome, keep up the great work!",False
200,"Rich Aromatic : Absolutely love, love, love it!!",False
201,What Bourbon Should Be. : No explanation necessary.,
202,Excellent wine. : To bad they just raised the price 20. I won't buy it now.,False
203,Beautiful cabernet! : One of the best on the shelf for under 20.,False
204,"Actually Quite Tasty : I purchased this item to make Mimosas and had some left over. The mimosas were delicious. I found the California Champaign tasteless when too cold and just right at a lesser temperature. Of course it is not Dom Perignon but who would make Mimosas with Dom, anyway",False
205,Amazing Drink : My drink of choice when I really want to enjoy my time alone.,
206,"""the Best Jerry, The Best"" : Pinnacle has been making our Martini's in my family for many years. My late father discovered it years ago when someone said it's on par with that vodka that flys south for the winter, but at a very reasonable price. Try it, bet you'll love it too. Al",
207,Pinnacle Whipped Bodka : The whipped creme flavored vodka is fabulous. I keep it in the freezer and have a snifter of it when I want something smooth after dinner or as a night cap. Love it!,
208,"I Love This Stuff !!!! : I love this vodka, I have been drinking vodka for many years, and this is by far one of the best, and my favorite vodka. I drink it regularly, usually with grape juice, but also with orange juice. We use it to make daiquiris, and many other frozen concoctions.",
209,There's only one way to rock! : Great run to mix up the rocking fun! Get some today and mix away.! You won't be disappointed.,False
210,Love : Love it. Great tast!,
211,"Not as tasty as other Sangria's : If I'm going to buy a Sangria, this is not the one I'd choose. The flavor was not as fruity as others I've had and was not pleasant for my palate.",False
212,On of our favorites! : We are not big wine drinkers but we love this stuff. It is just sweet enough and not as bitter as regular wine and you can really taste the fruity undertones. The price is nice as well. Recommended.,False
213,The Only Sangria For Me : The is absolutely the best Sangria ever. Hoping Sam's continues to carry it. I buy six bottles each visit.,False
214,"Very Yummy : I have searched high as low for this sangria and it is by far the best tasting. It is not too sweet, and very smooth. I love it chilled because its perfect for a hot summer's day.",False
215,"Finest Sangria for the price : I purchase this every time I go to Sam's. Then is started to disappear! This last time we went, there was a mini case of six...bought them all, scared that something this good might not re-appear. Please reassure us that you will continue to carry it!",False
216,Very Mild wine : No after taste love this wine.,False
217,"Delicious : Have you ever just wanted a wine that gives you that fruity juicy taste without the hard alcohol kick well this is it still gives you that cocktail buzz without that hard taste, love this stuff even my very picky grandmother loves it!!!!",False
